"filename", "language", "JSON", "SCSS", "CSS", "JavaScript", "PHP", "Latte", "SQL", "YAML", "comment", "blank", "total"
"d:\wamp\www\eshopTemplate\app\views\Category\default.latte", "Latte", 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"d:\wamp\www\eshopTemplate\app\views\Error\400.latte", "Latte", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\wamp\www\eshopTemplate\app\views\Error\401.latte", "Latte", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\wamp\www\eshopTemplate\app\views\Error\404.latte", "Latte", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\wamp\www\eshopTemplate\app\views\Error\405.latte", "Latte", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\wamp\www\eshopTemplate\app\views\Error\410.latte", "Latte", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\wamp\www\eshopTemplate\app\views\Error\500.latte", "Latte", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\wamp\www\eshopTemplate\app\views\Home\default.latte", "Latte", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"d:\wamp\www\eshopTemplate\app\views\Kosik\default.latte", "Latte", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 21
"d:\wamp\www\eshopTemplate\app\views\Product\default.latte", "Latte", 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"d:\wamp\www\eshopTemplate\app\views\Sandbox\default.latte", "Latte", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\wamp\www\eshopTemplate\app\views\Sign\In.latte", "Latte", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\wamp\www\eshopTemplate\app\views\Sign\Up.latte", "Latte", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\wamp\www\eshopTemplate\app\views\footer.latte", "Latte", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\wamp\www\eshopTemplate\app\views\head.latte", "Latte", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 20
"d:\wamp\www\eshopTemplate\app\views\nav.latte", "Latte", 0, 0, 0, 0, 0, 50, 0, 0, 0, 2, 52
"d:\wamp\www\eshopTemplate\app\views\scripts.latte", "Latte", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"d:\wamp\www\eshopTemplate\app\zasilkovna\uploadPacket.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 8, 35
"d:\wamp\www\eshopTemplate\composer.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\wamp\www\eshopTemplate\composer.lock", "JSON", 1199, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1200
"d:\wamp\www\eshopTemplate\package-lock.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"d:\wamp\www\eshopTemplate\package.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\wamp\www\eshopTemplate\www\index.php", "PHP", 0, 0, 0, 0, 32, 0, 0, 0, 7, 10, 49
"d:\wamp\www\eshopTemplate\www\scripts\ajax.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"d:\wamp\www\eshopTemplate\www\scripts\ajaxFunctions.js", "JavaScript", 0, 0, 0, 124, 0, 0, 0, 0, 4, 12, 140
"d:\wamp\www\eshopTemplate\www\scripts\script.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\wamp\www\eshopTemplate\www\styles\style.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"d:\wamp\www\eshopTemplate\www\styles\style.scss", "SCSS", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 1270, 3, 3, 153, 2694, 437, 618, 24, 1378, 648, 7228
